Time Step,Load (kWh),Solar Production (kWh),Curtailment (kWh),Battery Charge (kWh),Battery Discharge (kWh),State of Charge (kWh),Lost Load (kWh),Generator Production (kWh)
164,15.45246628,0.06367501924540683,0.0,0.0,0.0,0.0,1.670976009985635,13.717815250768957
165,17.38418563,0.0,0.0,0.0,0.0,0.0,3.6663703792310436,13.717815250768957
166,18.67817102,0.0,0.0,0.0,0.0,0.0,4.960355769231043,13.717815250768957
167,17.29487088,0.0,0.0,0.0,0.0,0.0,3.577055629231044,13.717815250768957
168,12.9285825,0.0,0.0,0.0,0.0,0.0,0.0,12.9285825
169,10.25726937,0.0,0.0,0.0,0.0,0.0,0.0,10.25726937
170,10.39043113,0.0,0.0,0.0,0.0,0.0,0.0,10.39043113
171,10.89043188,0.0,0.0,0.0,0.0,0.0,0.0,10.89043188
172,11.14588603,0.0,0.0,0.0,0.0,0.0,0.0,11.14588603
173,10.94728465,0.0,0.0,0.0,0.0,0.0,0.0,10.94728465
174,11.22539605,0.0,0.0,0.0,0.0,0.0,0.0,11.22539605
175,9.673768683,0.10188003079265093,0.0,0.0,0.0,0.0,0.0,9.571888652207349
176,7.73736085,0.764100230944882,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,6.973260619055118
177,8.65503505,3.514861062346457,0.0,0.0,0.0,0.0,0.0,5.140173987653544
178,8.188596433,6.074596836011811,0.0,0.0,0.0,0.0,0.0,2.1139995969881893
179,8.51215745,7.908437390279528,0.0,0.0,0.0,0.0,0.0,0.6037200597204722
180,8.331793183,8.331793183,0.748264561395013,0.0,0.0,0.0,0.0,0.0
181,8.910409017,8.910409017,0.6790488813582698,0.0,0.0,0.0,0.0,0.0
182,9.94010925,9.51304787526378,0.0,0.0,0.0,0.0,0.0,0.42706137473622086
183,9.254612733,8.850827675111548,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.4037850578884523
184,8.794765983,7.590062294052493,8.881784197001252e-16,0.0,0.0,0.0,0.0,1.2047036889475065
185,8.750149533,5.718016728237534,0.0,0.0,0.0,0.0,0.0,3.0321328047624663
186,10.24583045,3.3111010007611554,0.0,0.0,0.0,0.0,0.0,6.934729449238844
187,12.91249612,0.7768352347939632,1.1102230246251565e-16,0.0,0.0,0.0,0.0,12.135660885206036
188,15.68101768,0.050940015396325464,0.0,0.0,0.0,0.0,1.9122624138347177,13.717815250768957
189,17.90097733,0.0,0.0,0.0,0.0,0.0,4.183162079231042,13.717815250768957
190,18.06252442,0.0,0.0,0.0,0.0,0.0,4.344709169231042,13.717815250768957
191,16.51041997,0.0,0.0,0.0,0.0,0.0,2.7926047192310435,13.717815250768957
192,8.914398517,0.0,0.0,0.0,0.0,0.0,0.0,8.914398517
193,6.783358283,0.0,0.0,0.0,0.0,0.0,0.0,6.783358283
194,10.14941355,0.0,0.0,0.0,0.0,0.0,0.0,10.14941355
195,10.79023202,0.0,0.0,0.0,0.0,0.0,0.0,10.79023202
196,11.58319972,0.0,0.0,0.0,0.0,0.0,0.0,11.58319972
197,11.98236365,0.0,0.0,0.0,0.0,0.0,0.0,11.98236365
198,11.98556323,0.0,0.0,0.0,0.0,0.0,0.0,11.98556323
199,9.589683333,0.07641002309448819,1.3877787807814457e-17,0.0,0.0,0.0,0.0,9.513273309905511
200,8.268199283,0.7004252116994751,0.0,0.0,0.0,0.0,0.0,7.567774071300525
201,8.385185617,3.6422111008372706,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.742974516162729
202,8.4198819,6.201946874502625,0.0,0.0,0.0,0.0,0.0,2.2179350254973746
203,8.886192517,8.061257436468503,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.8249350805314961
204,9.126587533,9.126587533,0.09355525373490892,0.0,0.0,0.0,0.0,0.0
205,9.701375967,9.701375967,0.04090197754724478,0.0,0.0,0.0,0.0,0.0
206,9.625168583,9.625168583,0.02796433460367531,0.0,0.0,0.0,0.0,0.0
207,8.714786967,8.714786967,0.2633907466023615,0.0,0.0,0.0,0.0,0.0
208,8.060486367,7.717412332543307,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.34307403445669227
209,8.173201217,5.832631762879266,0.0,0.0,0.0,0.0,0.0,2.340569454120735
210,8.277249917,3.3747760200065624,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.902473896993438
211,12.38174972,0.7895702386430447,0.0,0.0,0.0,0.0,0.0,11.592179481356956
212,15.35207483,0.050940015396325464,0.0,0.0,0.0,0.0,1.583319563834717,13.717815250768957
213,17.89350967,0.0,0.0,0.0,0.0,0.0,4.175694419231043,13.717815250768957
